seed,epoch,phase,src_val,src_val_f1,src_val_acc,src_train_f1,snd,neg_ent,tgt_acc,tgt_f1,tgt_auc,loss,align_w,ent_w,L_cls,L_proto,L_margin,L_align,L_ent,L_sep,L_vrex,L_struct,L_pl
42,1,warmup,0.13857257417802726,0.13857257417802726,0.5300613496932516,0.18168162756335315,7.600390911102295,-1.5921893119812012,0.39501611508529205,0.11326496111799841,0.6441219737238246,2.346740245819092,0.0,0.0,1.5711475610733032,1.6049206256866455,0.5099326372146606,0.0,0.0,0.038669634610414505,0.0014666675124317408,0.048071134835481644,0.0
42,5,warmup,0.13857257417802726,0.13857257417802726,0.5300613496932516,0.18746149432976333,7.600386142730713,-1.5218511819839478,0.39525194560176086,0.11331342610851317,0.7475168454385636,2.1951091289520264,0.0,0.0,1.4255402088165283,1.6011505126953125,0.5048612952232361,0.0,0.0,0.036312926560640335,0.006624646484851837,0.04803827032446861,0.0
42,10,warmup,0.13857257417802726,0.13857257417802726,0.5300613496932516,0.15103072207224938,7.600306987762451,-1.4198957681655884,0.39525194560176086,0.11331342610851317,0.8131139169806423,2.1369290351867676,0.0,0.0,1.3714879751205444,1.5975757837295532,0.5048041939735413,0.0,0.0,0.0332859568297863,0.020049693062901497,0.048031993210315704,0.0
42,15,warmup,0.13857257417802726,0.13857257417802726,0.5300613496932516,0.16851102546455682,7.599935054779053,-1.3902000188827515,0.39525194560176086,0.11331342610851317,0.8654045629114012,2.1328537464141846,0.0,0.0,1.3724104166030884,1.5933454036712646,0.5028889179229736,0.0,0.0,0.030515072867274284,0.027421612292528152,0.04802433028817177,0.0
42,20,warmup,0.13857257417802726,0.13857257417802726,0.5300613496932516,0.1746579784649563,7.598348140716553,-1.3895947933197021,0.39525194560176086,0.11331342610851317,0.8878205231417514,2.0771589279174805,0.0,0.0,1.3214415311813354,1.588686227798462,0.5014694333076477,0.0,0.0,0.02789660170674324,0.014083306305110455,0.048014506697654724,0.0
42,25,warmup,0.13857257417802726,0.13857257417802726,0.5300613496932516,0.17362176310780703,7.589445114135742,-1.3961485624313354,0.39525194560176086,0.11331342610851317,0.8964585969654605,2.0405094623565674,0.0,0.0,1.2897045612335205,1.5822631120681763,0.5004947781562805,0.0,0.0,0.025398265570402145,0.02712879702448845,0.04802039638161659,0.0
42,30,warmup,0.13857257417802726,0.13857257417802726,0.5300613496932516,0.1902238782196694,7.5538411140441895,-1.3831281661987305,0.39525194560176086,0.11331342610851317,0.8929801321785839,1.9968985319137573,0.0,0.0,1.2503292560577393,1.5757077932357788,0.5005143284797668,0.0,0.0,0.023119375109672546,0.017264608293771744,0.04803718999028206,0.0
42,35,warmup,0.14185839129659353,0.14185839129659353,0.5312883435582823,0.22622047666750073,7.424675941467285,-1.3681228160858154,0.4002043864476063,0.1216254291045072,0.8902781689006941,1.920746088027954,0.0,0.0,1.1787372827529907,1.5686123371124268,0.4998631477355957,0.0,0.0,0.021012987941503525,0.022049644961953163,0.04805833473801613,0.0
42,40,warmup,0.249098976109215,0.249098976109215,0.5914110429447853,0.2590140692885352,7.133566379547119,-1.3251186609268188,0.5284175772344941,0.253937909475183,0.8920004158789474,1.8363276720046997,0.0,0.0,1.0998660326004028,1.5608118772506714,0.49768781661987305,0.0,0.0,0.018893234431743622,0.013501813635230064,0.04809316620230675,0.0
42,45,warmup,0.31464297833372845,0.31464297833372845,0.6638036809815951,0.38006924304385553,6.867242813110352,-1.2496130466461182,0.6244792076094646,0.3224910613097363,0.9225691893284929,1.6767774820327759,0.0,0.0,0.9489550590515137,1.5491222143173218,0.49131307005882263,0.0,0.0,0.016947844997048378,0.011065118946135044,0.04813820496201515,0.0
