seed,epoch,phase,src_val,src_val_f1,src_val_acc,src_train_f1,snd,neg_ent,tgt_acc,tgt_f1,tgt_auc,loss,align_w,ent_w,L_cls,L_proto,L_margin,L_align,L_ent,L_sep,L_vrex,L_struct,L_pl
42,1,warmup,0.018421052631578946,0.005423097992203295,0.018421052631578946,0.01016719826783386,7.595657825469971,-4.227891445159912,0.011518642012731131,0.0026660952197179884,0.5409669846600831,5.890355110168457,0.0,0.0,4.290345668792725,4.2491326332092285,0.5496247410774231,0.0,0.0,0.04993320256471634,0.0003944824857171625,0.05238217115402222,0.0
42,5,warmup,0.02894736842105263,0.008755165618000058,0.02894736842105263,0.012663983463934162,7.596404552459717,-4.231232643127441,0.03031221582297666,0.008250582406018277,0.586310138847148,5.819839000701904,0.0,0.0,4.220447063446045,4.251110076904297,0.5479174852371216,0.0,0.0,0.04957783594727516,9.741779649630189e-05,0.05227129906415939,0.0
42,10,warmup,0.05,0.017473986649022517,0.05,0.03440578661605311,7.595073223114014,-4.228239059448242,0.055774477114277056,0.022818657439967898,0.6203978544328245,5.750150203704834,0.0,0.0,4.157384395599365,4.242790699005127,0.540486216545105,0.0,0.0,0.04916415363550186,0.0006731823086738586,0.052135124802589417,0.0
42,15,warmup,0.1,0.04499765549970125,0.1,0.023649440095959047,7.589929103851318,-4.2191548347473145,0.07729615034859048,0.03404371900579152,0.6498332388769859,5.675636291503906,0.0,0.0,4.085202693939209,4.242118835449219,0.5370112657546997,0.0,0.0,0.04877226799726486,0.0005573871894739568,0.05199393630027771,0.0
42,20,warmup,0.14736842105263157,0.07110912293714616,0.14736842105263157,0.054119721253587216,7.575867652893066,-4.205536842346191,0.10093967869051228,0.046046994012395454,0.6764699331013081,5.58645486831665,0.0,0.0,3.999480962753296,4.237496376037598,0.5336140990257263,0.0,0.0,0.04839914292097092,0.0007589858141727746,0.05186593905091286,0.0
42,25,warmup,0.21842105263157896,0.12138517724024424,0.21842105263157896,0.07957927971166702,7.538152694702148,-4.186667442321777,0.13852682631100333,0.07446182376795889,0.7005964093529334,5.477687358856201,0.0,0.0,3.8912410736083984,4.236606121063232,0.5338236093521118,0.0,0.0,0.0480351485311985,9.093173139262944e-05,0.0517522469162941,0.0
42,30,warmup,0.24210526315789474,0.12826647846081043,0.24210526315789474,0.10195691372313014,7.451343059539795,-4.159364700317383,0.1615641103364656,0.0879361678798875,0.7213950956687051,5.348219871520996,0.0,0.0,3.764716863632202,4.2303290367126465,0.5324082374572754,0.0,0.0,0.04768412932753563,0.0010000041220337152,0.0516519732773304,0.0
42,35,warmup,0.2710526315789474,0.15167892237413783,0.2710526315789474,0.1250903864805394,7.287254810333252,-4.124805927276611,0.17672021824795392,0.09807877864878967,0.737240923610584,5.254067897796631,0.0,0.0,3.671570301055908,4.2283759117126465,0.5322495698928833,0.0,0.0,0.04734447970986366,0.0018790001049637794,0.05155061557888985,0.0
42,40,warmup,0.2789473684210526,0.16097896778247386,0.2789473684210526,0.11652187320344276,7.0447797775268555,-4.080430030822754,0.1915732040012125,0.10614620249145397,0.7465156233679185,5.0928802490234375,0.0,0.0,3.5141026973724365,4.2202935218811035,0.5303098559379578,0.0,0.0,0.04701996222138405,0.002674813149496913,0.05145072191953659,0.0
42,45,warmup,0.2789473684210526,0.16087937055314333,0.2789473684210526,0.13548964924076623,6.740519046783447,-4.0344414710998535,0.20006062443164596,0.11095486911901169,0.755048916905527,4.994656085968018,0.0,0.0,3.4165761470794678,4.219271183013916,0.5301403403282166,0.0,0.0,0.04671474173665047,0.01079467125236988,0.05135181173682213,0.0
